ts,value
1614917632506,24
1614917633505,24
1614917634505,24
1614917635506,24
1614917636506,24
1614917637506,24
1614917638505,24
1614917639506,24
1614917640506,24
1614917641506,24
1614917642506,24
1614917643506,24
1614917644505,24
1614917645506,24
1614917646506,24
1614917647505,24
1614917648506,24
1614917649506,24
1614917650506,24
1614917651506,24
1614917652506,24
1614917653506,24
1614917654506,24
1614917655506,24
1614917656506,24
1614917657506,24
1614917658506,24
1614917659506,24
1614917660506,24
1614917661508,24
1614917662506,24
1614917663506,24
1614917664505,24
1614917665506,24
1614917666506,24
1614917667506,24
1614917668505,24
1614917669506,24
1614917670506,24
1614917671506,24
1614917672506,24
1614917673506,24
1614917674507,24
1614917675506,24
1614917676506,24
1614917677505,24
1614917678506,24
1614917679506,24
1614917680506,24
1614917681506,24
1614917682506,24
1614917683506,24
1614917684506,24
1614917685506,24
1614917686506,24
1614917687505,24
1614917688506,24
1614917689506,24
1614917690506,24
1614917691506,24
1614917692506,24
1614917693505,24
1614917694506,24
1614917695505,24
1614917696506,24
1614917697507,24
1614917698506,24
1614917699505,24
1614917700506,24
1614917701506,24
1614917702506,24
1614917703506,24
1614917704506,24
1614917705506,24
1614917706505,24
1614917707506,24
1614917708505,24
1614917709506,24
1614917710505,24
1614917711506,24
1614917712505,24
1614917713506,24
1614917714506,24
1614917715506,24
1614917716506,24
1614917717505,24
1614917718506,24
1614917719506,24
1614917720506,24
1614917721505,24
1614917722506,24
1614917723506,24
1614917724506,24
1614917725505,24
1614917726506,24
1614917727506,24
1614917728506,24
1614917729506,24
1614917730505,24
1614917731506,24
1614917732506,24
1614917733506,24
1614917734506,24
1614917735506,24
1614917736506,24
1614917737505,24
1614917738506,24
1614917739506,24
1614917740506,24
1614917741506,24
1614917742506,24
1614917743506,24
1614917744506,24
1614917745506,24
1614917746506,24
1614917747505,24
1614917748506,24
1614917749505,24
1614917750506,24
1614917751506,24
1614917752506,24
1614917753506,24
1614917754506,24
1614917755506,24
1614917756506,24
1614917757506,24
1614917758506,24
1614917759506,24
1614917760506,24
1614917761506,24
1614917762506,24
1614917763506,24
1614917764506,24
1614917765506,24
1614917766506,24
1614917767506,24
1614917768506,24
1614917769506,24
1614917770506,24
1614917771506,24
1614917772506,24
1614917773505,24
1614917774506,24
1614917775506,24
1614917776506,24
1614917777506,24
1614917778506,24
1614917779506,24
1614917780506,24
1614917781507,24
1614917782506,24
1614917783506,24
1614917784506,24
1614917785505,24
1614917786506,24
1614917787506,24
1614917788506,24
1614917789506,24
1614917790506,24
1614917791506,24
1614917792505,24
1614917793505,24
1614917794506,24
1614917795506,24
1614917796507,24
1614917797505,24
1614917798506,24
1614917799506,24
1614917800506,24
1614917801506,24
1614917802506,24
1614917803506,24
1614917804506,24
1614917805506,24
1614917806506,24
1614917807505,24
1614917808506,24
1614917809506,24
1614917810506,24
1614917811506,24
1614917812506,24
1614917813506,24
1614917814506,24
1614917815506,24
1614917816506,24
1614917817505,24
1614917818506,24
1614917819506,24
1614917820506,24
1614917821505,24
1614917822506,24
1614917823506,24
1614917824506,24
1614917825505,24
1614917826506,24
1614917827506,24
1614917828506,24
1614917829506,24
1614917830506,24
1614917831506,24
1614917832506,24
1614917833505,24
1614917834506,24
1614917835506,24
1614917836506,24
1614917837505,24
1614917838506,24
1614917839505,24
1614917840505,24
1614917841506,24
1614917842505,24
1614917843506,24
1614917844506,24
1614917845506,24
1614917846506,24
1614917847506,24
1614917848506,24
1614917849506,24
1614917850506,24
1614917851505,24
1614917852506,24
1614917853506,24
1614917854506,24
1614917855505,24
1614917856506,24
1614917857506,24
1614917858506,24
1614917859505,24
1614917860506,24
1614917861506,24
1614917862506,24
1614917863506,24
1614917864506,24
1614917865506,24
1614917866506,24
1614917867506,24
1614917868506,24
1614917869506,24
1614917870506,24
1614917871506,24
1614917872505,24
1614917873506,24
1614917874506,24
1614917875506,24
1614917876506,24
1614917877506,24
1614917878506,24
1614917879505,24
1614917880506,24
1614917881506,24
1614917882506,24
1614917883505,24
1614917884506,24
1614917885506,24
1614917886505,24
1614917887505,24
1614917888506,24
1614917889506,24
1614917890506,24
1614917891505,24
1614917892506,24
1614917893506,24
1614917894506,24
1614917895505,24
1614917896506,24
1614917897506,24
1614917898506,24
1614917899506,24
1614917900506,24
1614917901506,24
1614917902506,24
1614917903505,24
1614917904506,24
1614917905505,24
1614917906506,24
1614917907505,24
1614917908505,24
1614917909506,24
1614917910506,24
1614917911506,24
1614917912505,24
1614917913506,24
1614917914506,24
1614917915505,24
1614917916505,24
1614917917506,24
1614917918506,24
1614917919506,24
1614917920506,24
1614917921505,24
1614917922506,24
1614917923506,24
1614917924506,24
1614917925506,24
1614917926506,24
1614917927505,24
1614917928505,24
1614917929506,24
1614917930506,24
1614917931506,24
1614917932506,24
1614917933505,24
1614917934506,24
1614917935507,24
1614917936506,24
1614917937506,24
1614917938505,24
1614917939506,24
1614917940505,24
1614917941506,24
1614917942506,24
1614917943506,24
1614917944506,24
1614917945506,24
1614917946506,24
1614917947506,24
1614917948505,24
1614917949506,24
1614917950506,24
1614917951506,24
1614917952507,24
1614917953506,24
1614917954506,24
1614917955506,24
1614917956506,24
1614917957506,24
1614917958506,24
1614917959506,24
1614917960506,24
1614917961506,24
1614917962506,24
1614917963506,24
1614917964505,24
1614917965505,24
1614917966506,24
1614917967506,24
1614917968506,24
1614917969506,24
1614917970506,24
1614917971505,24
1614917972506,24
1614917973506,24
1614917974506,24
1614917975505,24
1614917976505,24
1614917977506,24
1614917978506,24
1614917979505,24
1614917980506,24
1614917981506,24
1614917982506,24
1614917983506,24
1614917984506,24
1614917985506,24
1614917986506,24
1614917987506,24
1614917988506,24
1614917989506,24
1614917990505,24
1614917991506,24
1614917992506,24
1614917993506,24
1614917994506,24
1614917995506,24
1614917996506,24
1614917997506,24
1614917998506,24
1614917999505,24
1614918000506,24
1614918001506,24
1614918002505,24
1614918003506,24
1614918004506,24
1614918005506,24
1614918006505,24
1614918007506,24
1614918008506,24
1614918009506,24
1614918010506,24
1614918011505,24
1614918012506,24
1614918013506,24
1614918014506,24
1614918015506,24
1614918016505,24
1614918017506,24
1614918018506,24
1614918019506,24
1614918020506,24
1614918021506,24
1614918022505,24
1614918023506,24
1614918024507,24
1614918025506,24
1614918026506,24
1614918027506,24
1614918028506,24
1614918029506,24
1614918030506,24
1614918031506,24
1614918032505,24
1614918033506,24
1614918034506,24
1614918035506,24
1614918036506,24
1614918037505,24
1614918038506,24
1614918039506,24
1614918040506,24
1614918041506,24
1614918042505,24
1614918043506,24
1614918044506,24
1614918045506,24
1614918046506,24
1614918047506,24
1614918048505,24
1614918049506,24
1614918050505,24
1614918051506,24
1614918052506,24
1614918053506,24
1614918054506,24
1614918055506,24
1614918056506,24
1614918057506,24
1614918058506,24
1614918059506,24
1614918060506,24
1614918061506,24
1614918062506,24
1614918063506,24
1614918064506,24
1614918065506,24
